wallstreetcn-hot | 华尔街见闻
22. 阿联酋总统外交顾问：不会对俄罗斯-乌克兰问题发表评论，但阿联酋乐于尽一切可能提供便利。 [URL:https://flash.jin10.com/detail/20251125182412790800]
23. 美、布两油短线小幅走高，现分别报58.58美元/桶和62.53美元/桶。 [URL:https://flash.jin10.com/detail/20251125182225619800]
24. 里海管道联盟：由于无人机袭击，黑海终端暂时暂停石油装载。 [URL:https://flash.jin10.com/detail/20251125182146055800]
25. 港交所文件显示：小米集团（01810.HK）于11月25日回购了250万股B类股份，耗资1.007亿港元。 [URL:https://flash.jin10.com/detail/20251125182120919800]
26. 期货热点追踪 [URL:https://flash.jin10.com/detail/20251125182017681800]
27. 美国非洲事务顾问：特朗普正努力解决包括俄罗斯与乌克兰在内的多起冲突。 [URL:https://flash.jin10.com/detail/20251125181601455800]
28. 台积电：已对前任资深副总经理罗唯仁提起诉讼 [URL:https://flash.jin10.com/detail/20251125181533619800]
29. 市场消息：智利国家铜业公司提出以每吨335美元的溢价，向部分买家供应2026年年度合同所需铜材，该溢价是伦敦金属交易所价格之上计算的。 [URL:https://flash.jin10.com/detail/20251125181412915800]
30. 蔚来汽车(NIO.N)：2025年第三季度净亏损为34.805亿元人民币（约合4.889亿美元），同比降31.2%，环比下降30.3%。 [URL:https://flash.jin10.com/detail/20251125181350635800]

